Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Website URL,WC Grade,WC CO2 per Visit,Sustainable Energy,Monthly traffic in K,
1,Walmart,WMT,Retailing,General Merchandisers,yes,no,no,no,0,no,no,no,yes,yes,yes,2100000,484852.8,648125,6,15511,32.8,252399,C. Douglas McMillon,U.S.,Bentonville,Arkansas,https://www.stock.walmart.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",559911,45509,www.walmart.com,F,0.99,sustainable energy,432000,
2,Amazon,AMZN,Retailing,Internet Services and Retailing,yes,no,no,no,0,no,no,no,yes,yes,no,1525000,1873675.8,574785,11.8,30425,,527854,Andrew R. Jassy,U.S.,Seattle,Washington,https://www.amazon.com,Public,"Market value as of July 15, 2024.",2005565,45509,www.amazon.com,F,0.93,sustainable energy,2654000,
3,Apple,AAPL,Technology,"Computers, Office Equipment",yes,no,no,no,1,yes,no,no,yes,yes,no,161000,2647973.8,383285,-2.8,96995,-2.8,352583,Timothy D. Cook,U.S.,Cupertino,California,https://www.apple.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of July 15, 2024.",3594309,45509,www.apple.com,F,1,bog standard energy,506800,
4,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,1,yes,no,no,yes,yes,no,440000,456080.8,371622,14.6,22381,11.2,273720,Andrew P. Witty,U.S.,Minnetonka,Minnesota,https://www.unitedhealthgroup.com,Public,"Market value as of July 15, 2024.",474339,45509,www.unitedhealthgroup.com,E,0.74,sustainable energy,1982,
5,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,2,yes,no,no,yes,yes,no,396500,908919.7,364482,20.7,96223,,1069978,Warren E. Buffett,U.S.,Omaha,Nebraska,https://www.berkshirehathaway.com,Public,"Market value as of July 15, 2024.",937028,45509,www.berkshirehathaway.com,A+,0.05,bog standard energy,391.912,
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,no,0,no,no,no,yes,yes,no,259500,100373.9,357776,10.9,8344,101.1,249728,Karen S. Lynch,U.S.,Woonsocket,Rhode Island,https://www.cvshealth.com,Public,"Market value as of July 15, 2024.",73653,45509,www.cvshealth.com,B,0.22,sustainable energy,3196,
7,Exxon Mobil,XOM,Energy,Petroleum Refining,yes,no,no,no,-4,no,yes,no,yes,no,no,61500,461222.2,344582,-16.7,36010,-35.4,376317,Darren W. Woods,U.S.,Spring,Texas,https://www.exxonmobil.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",516824,45509,www.exxonmobil.com,F,1.84,sustainable energy,1017,
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,yes,no,no,no,0,no,no,no,yes,yes,no,182502,1884633,307394,8.7,73795,23,402392,Sundar Pichai,U.S.,Mountain View,California,https://www.abc.xyz,Public,"Market value as of July 15, 2024.",2315182,45509,www.abc.xyz,A,0.13,sustainable energy,332.856,
9,McKesson,MCK,Health Care,Wholesalers: Health Care,yes,no,no,no,0,no,no,no,yes,no,no,48000,70546.5,276711,4.8,3560,219.6,62320,Brian S. Tyler,U.S.,Irving,Texas,https://www.mckesson.com,Public,"Figures are for fiscal year ended March 31, 2024. Market value as of July 15, 2024.",75007,45509,www.mckesson.com,D,0.63,bog standard energy,3457,
10,Cencora,COR,Health Care,Wholesalers: Health Care,yes,no,no,yes,1,yes,no,no,yes,no,no,44000,48472.1,262173.4,9.9,1745.3,2.7,62558.7,Steven H. Collis,U.S.,Conshohocken,Pennsylvania,https://www.cencora.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Changed name from AmerisourceBergen, Aug. 30, 2023. Market value as of July 15, 2024.",43758,45509,www.cencora.com,E,0.82,sustainable energy,247.376,
11,Costco Wholesale,COST,Retailing,General Merchandisers,yes,no,no,yes,1,yes,no,no,yes,yes,no,316000,324924.4,242290,6.8,6292,7.7,68994,Ron M. Vachris,U.S.,Issaquah,Washington,https://www.costco.com,Public,"Figures are for fiscal year ended Aug. 31, 2023. Market value as of July 15, 2024.",376272,45509,www.costco.com,F,1.45,sustainable energy,94750,
12,JPMorgan Chase,JPM,Financials,Commercial Banks,yes,no,no,yes,11,yes,no,no,yes,yes,no,309926,576938.4,239425,54.7,49552,31.5,3875393,James Dimon,U.S.,New York,New York,https://www.jpmorganchase.com,Public,"Market value as of July 15, 2024.",603194,45509,www.jpmorganchase.com,F,1.31,sustainable energy,2142,
13,Microsoft,MSFT,Technology,Computer Software,yes,no,no,no,0,no,no,no,yes,yes,no,221000,3126133.1,211915,6.9,72361,-0.5,411976,Satya Nadella,U.S.,Redmond,Washington,https://www.microsoft.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",3373970,45509,www.microsoft.com,B,0.23,sustainable energy,1254000,
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,yes,no,no,yes,0,no,no,no,yes,no,no,47520,27217.8,205012,13,261,,43417,Jason M. Hollar,U.S.,Dublin,Ohio,https://www.cardinalhealth.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",22832,45509,www.cardinalhealth.com,C,0.46,sustainable energy,2817,
15,Chevron,CVX,Energy,Petroleum Refining,yes,no,no,yes,-5,no,yes,no,yes,no,no,45600,292965.6,200949,-18.4,21369,-39.7,261632,Michael K. Wirth,U.S.,San Ramon,California,https://www.chevron.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",291950,45509,www.chevron.com,F,0.91,sustainable energy,656.162,
16,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-1,no,yes,no,yes,no,no,71413,103017.9,195265,8.2,5164,-22.6,152761,David M. Cordani,U.S.,Bloomfield,Connecticut,https://www.thecignagroup.com,Public,"Market value as of July 15, 2024.",94148,45509,www.thecignagroup.com,C,0.35,bog standard energy,503.024,
17,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,2,yes,no,no,yes,no,no,177000,53017.8,176191,11.5,4347,,273310,James D. Farley Jr.,U.S.,Dearborn,Michigan,https://www.ford.com,Public,"Market value as of July 15, 2024.",56811,45509,www.ford.com,F,1.51,bog standard energy,17620,
18,Bank of America,BAC,Financials,Commercial Banks,yes,no,no,no,14,yes,no,no,yes,yes,yes,212985,299213,171912,49.4,26515,-3.7,3180151,Brian T. Moynihan,U.S.,Charlotte,North Carolina,https://www.bankofamerica.com,Public,"Market value as of July 15, 2024.",327595,45509,www.bankofamerica.com,E,0.8,bog standard energy,113200,
19,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,yes,no,2,yes,no,no,yes,no,no,163000,52353.5,171842,9.6,10127,1.9,273064,Mary T. Barra,U.S.,Detroit,Michigan,https://www.gm.com,Public,"Market value as of July 15, 2024.",56222,45509,www.gm.com,F,2.23,bog standard energy,6054,
20,Elevance Health,ELV,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,2,yes,no,no,yes,yes,yes,104900,120619.6,171340,9.4,5987,-0.6,108928,Gail K. Boudreaux,U.S.,Indianapolis,Indiana,https://www.elevancehealth.com,Public,"Market value as of July 15, 2024.",123335,45509,www.elevancehealth.com,B,0.29,sustainable energy,409.217,
21,Citigroup,C,Financials,Commercial Banks,yes,no,yes,no,15,yes,no,no,yes,no,no,237925,121122.2,156820,55.1,9228,-37.8,2411834,Jane Fraser,U.S.,New York,New York,https://www.citigroup.com,Public,"Market value as of July 15, 2024.",124251,45509,www.citigroup.com,F,1.27,sustainable energy,2752,
22,Centene,CNC,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,no,3,yes,no,no,yes,yes,no,67700,41979.4,153999,6.5,2702,124.8,84641,Sarah M. London,U.S.,St. Louis,Missouri,https://www.centene.com,Public,"Market value as of July 15, 2024.",35221,45509,www.centene.com,F,1.32,bog standard energy,896.342,
23,Home Depot,HD,Retailing,Specialty Retailers: Other,yes,no,no,no,-3,no,yes,no,yes,yes,no,463100,380153.7,152669,-3,15143,-11.5,76530,Edward P. Decker,U.S.,Atlanta,Georgia,https://www.homedepot.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",355454,45509,www.homedepot.com,A+,0.02,sustainable energy,179700,
24,Marathon Petroleum,MPC,Energy,Petroleum Refining,yes,no,no,yes,-8,no,yes,no,yes,no,no,18200,72607.7,150307,-16.5,9681,-33.3,85987,Maryann T. Mannen,U.S.,Findlay,Ohio,https://www.marathonpetroleum.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",58737,45509,www.marathonpetroleum.com,D,0.61,sustainable energy,86.253,
25,Kroger,KR,Food & Drug Stores,Food & Drug Stores,yes,no,no,no,-1,no,yes,no,yes,no,no,414000,41100.7,150039,1.2,2164,-3.6,50505,W. Rodney McMullen,U.S.,Cincinnati,Ohio,https://www.thekrogerco.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",37620,45509,www.thekrogerco.com,F,3.57,sustainable energy,215.584,
26,Phillips 66,PSX,Energy,Petroleum Refining,yes,no,no,yes,-9,no,yes,no,yes,no,no,14000,69880.8,149890,-14.7,7015,-36.4,75501,Mark E. Lashier,U.S.,Houston,Texas,https://www.phillips66.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",59383,45509,www.phillips66.com,F,4.19,bog standard energy,211.763,
27,Fannie Mae,FNMA,Financials,Diversified Financials,yes,no,yes,yes,1,yes,no,no,yes,no,no,8100,1818.2,141240,16.2,17408,34.7,4325437,Priscilla Almodovar,U.S.,Washington,District Of Columbia,https://www.fanniemae.com,Public,"Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 15, 2024.",8585,45509,www.fanniemae.com,F,2.43,sustainable energy,1205,
28,Walgreens Boots Alliance,WBA,Food & Drug Stores,Food & Drug Stores,no,no,no,yes,-1,no,yes,no,yes,no,no,268500,18712.3,139081,4.8,-3080,-171,96628,Timothy Wentworth,U.S.,Deerfield,Illinois,https://www.walgreensbootsalliance.com,Public,"Figures are for fiscal year ended Aug. 31, 2023. Market value as of July 15, 2024.",10100,45509,www.walgreensbootsalliance.com,D,0.6,sustainable energy,113.119,
29,Valero Energy,VLO,Energy,Petroleum Refining,yes,no,no,yes,-11,no,yes,no,yes,no,no,9897,56234.5,139001,-18.8,8835,-23.4,63056,R. Lane Riggs,U.S.,San Antonio,Texas,https://www.valero.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",48641,45509,www.valero.com,F,1.81,sustainable energy,473.146,
30,Meta Platforms,META,Technology,Internet Services and Retailing,yes,yes,no,no,1,yes,no,no,yes,yes,no,67317,1237940.1,134902,15.7,39098,68.5,229623,Mark Zuckerberg,U.S.,Menlo Park,California,https://investor.fb.com,Public,"Market value as of July 15, 2024.",1258678,45509,www.meta.com,F,0.97,sustainable energy,19630,
31,Verizon Communications,VZ,Telecommunications,Telecommunications,yes,no,no,no,-5,no,yes,no,yes,yes,no,105400,176651.6,133974,-2.1,11614,-45.4,380255,Hans E. Vestberg,U.S.,New York,New York,https://www.verizon.com,Public,"Market value as of July 15, 2024.",171696,45509,www.verizon.com,E,0.75,bog standard energy,54020,
32,AT&T,T,Telecommunications,Telecommunications,yes,no,no,no,-2,no,yes,no,yes,yes,no,150470,125889.1,122428,1.4,14400,,407060,John T. Stankey,U.S.,Dallas,Texas,https://www.att.com,Public,"Market value as of July 15, 2024.",133222,45509,www.att.com,E,0.76,sustainable energy,127500,
33,Comcast,CMCSA,Telecommunications,Telecommunications,yes,no,no,no,-4,no,yes,no,yes,yes,yes,186000,172180,121572,0.1,15388,186.6,264811,Brian L. Roberts,U.S.,Philadelphia,Pennsylvania,https://www.comcastcorporation.com,Public,"Market value as of July 15, 2024.",152786,45509,www.comcastcorporation.com,F,5.44,sustainable energy,N/A,
34,Wells Fargo,WFC,Financials,Commercial Banks,yes,no,no,no,13,yes,no,no,yes,no,no,226000,205201.8,115340,39.2,19142,45.2,1932468,Charles W. Scharf,U.S.,San Francisco,California,https://www.wellsfargo.com,Public,"Market value as of July 15, 2024.",201265,45509,www.wellsfargo.com,D,0.59,sustainable energy,99940,
35,Goldman Sachs Group,GS,Financials,Commercial Banks,yes,no,no,no,20,yes,no,no,yes,yes,no,45300,135551.7,108418,57.8,8516,-24.4,1641594,David M. Solomon,U.S.,New York,New York,https://www.goldmansachs.com,Public,"Market value as of July 15, 2024.",164412,45509,www.goldmansachs.com,E,0.79,bog standard energy,1698,
36,Freddie Mac,FMCC,Financials,Diversified Financials,yes,no,no,yes,9,yes,no,no,yes,no,no,8020,877.6,108050,24.6,10538,13,3280976,Michael T. Hutchins,U.S.,McLean,Virginia,https://www.freddiemac.com,Public,"Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 15, 2024.",4528,45509,www.freddiemac.com,F,0.86,sustainable energy,966.614,
37,Target,TGT,Retailing,General Merchandisers,yes,no,no,no,-4,no,yes,no,yes,yes,yes,415000,81816.1,107412,-1.6,4138,48.8,55356,Brian C. Cornell,U.S.,Minneapolis,Minnesota,https://www.target.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",69997,45509,www.target.com,F,1.07,sustainable energy,166400,
38,Humana,HUM,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,4,yes,no,no,yes,yes,no,67600,41796.7,106374,14.5,2489,-11.3,47065,James A. Rechtin,U.S.,Louisville,Kentucky,https://www.humana.com,Public,"Market value as of July 15, 2024.",46298,45509,www.humana.com,D,0.65,bog standard energy,6495,
39,State Farm Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,5,yes,no,no,yes,no,no,65054,,104198.6,16.6,-6272.3,,339484.7,Michael L. Tipsord,U.S.,Bloomington,Illinois,https://www.statefarm.com,Private,"Figures are for fiscal year ended Dec. 31, 2022.",,45509,www.statefarm.com,D,0.58,bog standard energy,19270,
40,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,yes,no,yes,10,yes,no,no,yes,no,no,140473,559854.3,96773,18.8,14997,19.4,106618,Elon Musk,U.S.,Austin,Texas,https://www.tesla.com,Public,"Market value as of July 15, 2024.",805719,45509,www.tesla.com,E,0.79,sustainable energy,25010,
41,Morgan Stanley,MS,Financials,Commercial Banks,yes,no,no,no,20,yes,no,no,yes,yes,no,80006,153976.9,96194,45.9,9087,-17.6,1193693,Edward N. Pick,U.S.,New York,New York,https://www.morganstanley.com,Public,"Market value as of July 15, 2024.",171065,45509,www.morganstanley.com,F,1.86,sustainable energy,5487,
42,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,yes,no,no,no,-2,no,yes,no,yes,yes,no,131900,381203.6,95195,0.3,35153,95.9,167558,Joaquin Duato,U.S.,New Brunswick,New Jersey,https://www.jnj.com,Public,"Includes revenues from discontinued operations. Market value as of July 15, 2024.",359173,45509,www.jnj.com,F,1.5,bog standard energy,2555,
43,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,yes,no,no,no,-8,no,yes,no,yes,yes,no,41008,32023.6,93935,-7.5,3483,-19.7,54631,Juan R. Luciano,U.S.,Chicago,Illinois,https://www.adm.com,Public,"Market value as of July 15, 2024.",31347,45509,www.adm.com,F,0.98,bog standard energy,246.993,
44,PepsiCo,PEP,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,2,yes,no,no,yes,yes,no,318000,240552.8,91471,5.9,9074,1.8,100495,Ramon L. Laguarta,U.S.,Purchase,New York,https://www.pepsico.com,Public,"Market value as of July 15, 2024.",225074,45509,www.pepsico.com,F,2.78,bog standard energy,2400,
45,United Parcel Service,UPS,Transportation,"Mail, Package, and Freight Delivery",yes,no,yes,no,-8,no,yes,no,yes,yes,no,382550,126828.9,90958,-9.3,6708,-41.9,70857,Carol B. Tom?,U.S.,Atlanta,Georgia,https://www.ups.com,Public,"Market value as of July 15, 2024.",123329,45509,www.ups.com,E,0.82,bog standard energy,198600,
46,FedEx,FDX,Transportation,"Mail, Package, and Freight Delivery",yes,no,no,no,-5,no,yes,no,yes,yes,no,446400,71299.4,90155,-3.6,3972,3.8,87143,Rajesh Subramaniam,U.S.,Memphis,Tennessee,https://www.fedex.com,Public,"Figures are for fiscal year ended May 31, 2023. Market value as of July 15, 2024.",74517,45509,www.fedex.com,A+,0,sustainable energy,159100,
47,Walt Disney,DIS,Media,Entertainment,yes,no,no,yes,1,yes,no,no,yes,yes,no,199125,224445.2,88898,7.5,2354,-25.2,205579,Robert A. Iger,U.S.,Burbank,California,https://www.thewaltdisneycompany.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of July 15, 2024.",176598,45509,www.thewaltdisneycompany.com,E,0.77,bog standard energy,1322,
48,Dell Technologies,DELL,Technology,"Computers, Office Equipment",yes,yes,no,no,-14,no,yes,no,yes,yes,no,120000,81450.6,88425,-13.6,3211,31.5,82089,Michael S. Dell,U.S.,Round Rock,Texas,https://www.delltechnologies.com/,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",97331,45509,www.delltechnologies.com,E,0.77,bog standard energy,895.005,
49,Lowe's,LOW,Retailing,Specialty Retailers: Other,yes,no,no,no,-10,no,yes,no,yes,yes,no,226000,145752.5,86377,-11,7726,20,41795,Marvin R. Ellison,U.S.,Mooresville,North Carolina,https://www.lowes.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",132299,45509,www.lowes.com,F,1.23,sustainable energy,122000,
50,Procter & Gamble,PG,Household Products,Household and Personal Products,yes,no,no,yes,1,yes,no,no,yes,yes,no,107000,381777.7,82006,2.3,14653,-0.6,120829,Jon R. Moeller,U.S.,Cincinnati,Ohio,https://www.pginvestor.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",388431,45509,www.us.pg.com,D,0.64,sustainable energy,511.812,
51,Energy Transfer,ET,Energy,Pipelines,yes,no,no,yes,-8,no,yes,no,yes,no,no,13786,52974.8,78586,-12.6,3935,-17.3,113698,Thomas E. Long/Marshall S. McCrea III,U.S.,Dallas,Texas,https://www.energytransfer.com,Public,"A partnership. Market value as of July 15, 2024.",55235,45509,www.energytransfer.com,F,2.52,bog standard energy,121.996,
52,Boeing,BA,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,6,yes,no,no,yes,yes,no,171000,117750,77794,16.8,-2222,,137012,Kelly K. Ortberg,U.S.,Arlington,Virginia,https://www.boeing.com,Public,"Market value as of July 15, 2024.",109953,45509,www.boeing.com,D,0.51,bog standard energy,2176,
53,Albertsons,ACI,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,0,no,no,no,yes,no,no,198650,12350.3,77649.7,8,1513.5,-6.6,26168.2,Vivek Sankaran,U.S.,Boise,Idaho,https://www.albertsonscompanies.com,Public,"Figures are for fiscal year ended Feb. 28, 2024. Market value as of July 15, 2024.",11333,45509,www.albertsonscompanies.com,E,0.84,sustainable energy,550.981,
54,Sysco,SYY,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,2,yes,no,no,yes,no,no,71750,40413.8,76324.7,11.2,1770.1,30.3,22821.1,Kevin P. Hourican,U.S.,Houston,Texas,https://www.sysco.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",35755,45509,www.sysco.com,F,0.99,sustainable energy,1765,
55,RTX,RTX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,2,yes,no,no,yes,yes,no,185000,129680.3,68920,2.8,3195,-38.5,161869,Christopher T. Calio,U.S.,Arlington,Virginia,https://www.rtx.com,Public,"Market value as of July 15, 2024.",135104,45509,www.rtx.com,F,1.55,sustainable energy,1117,
56,General Electric,GE,Industrials,Industrial Machinery,yes,no,no,no,-4,no,yes,no,yes,no,no,125000,191901.2,67954,-11.2,9481,4113.8,163045,H. Lawrence Culp Jr.,U.S.,Boston,Massachusetts,https://www.ge.com,Public,"Market value as of July 15, 2024.",174655,45509,www.ge.com,F,1.84,bog standard energy,2706,
57,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,3,yes,no,no,yes,yes,no,122000,109394.2,67571,2.4,6920,20.7,52456,James D. Taiclet Jr.,U.S.,Bethesda,Maryland,https://www.lockheedmartin.com,Public,"Market value as of July 15, 2024.",111303,45509,www.lockheedmartin.com,F,2.07,bog standard energy,1126,
58,American Express,AXP,Financials,Diversified Financials,yes,no,no,no,19,yes,no,no,yes,yes,yes,74600,163945.6,67364,21.1,8374,11.4,261108,Stephen J. Squeri,U.S.,New York,New York,https://www.americanexpress.com,Public,"Market value as of July 15, 2024.",175510,45509,www.americanexpress.com,B,0.25,sustainable energy,103800,
59,Caterpillar,CAT,Industrials,Construction and Farm Machinery,yes,no,no,yes,9,yes,no,no,yes,yes,no,113200,182986.8,67060,12.8,10335,54.1,87476,D. James Umpleby III,U.S.,Irving,Texas,https://www.caterpillar.com,Public,"Market value as of July 15, 2024.",169100,45509,www.caterpillar.com,F,0.85,sustainable energy,782.601,
60,MetLife,MET,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,-6,no,yes,no,yes,yes,yes,45000,53583,66905,-4.3,1578,-37.8,687584,Michel A. Khalaf,U.S.,New York,New York,https://www.metlife.com,Public,"Market value as of July 15, 2024.",52929,45509,www.metlife.com,F,1.34,bog standard energy,4415,
61,HCA Healthcare,HCA,Health Care,Health Care: Medical Facilities,yes,no,no,yes,5,yes,no,no,yes,yes,no,265000,88213.8,64968,7.9,5242,-7.1,56211,Samuel N. Hazen,U.S.,Nashville,Tennessee,https://www.hcahealthcare.com,Public,"Market value as of July 15, 2024.",83022,45509,www.hcahealthcare.com,F,0.99,bog standard energy,1172,
62,Progressive,PGR,Financials,Insurance: Property and Casualty (Stock),yes,no,yes,yes,26,yes,no,no,yes,yes,yes,61432,121134.1,62108.5,25.2,3902.4,440.9,88690.8,Susan Patricia  Griffith,U.S.,Mayfield Village,Ohio,https://www.progressive.com,Public,"Market value as of July 15, 2024.",127155,45509,www.progressive.com,B,0.27,bog standard energy,30750,
63,IBM,IBM,Technology,Information Technology Services,yes,no,no,no,2,yes,no,no,yes,yes,no,296600,175061.6,61860,2.2,7502,357.7,135241,Arvind Krishna,U.S.,Armonk,New York,https://www.ibm.com,Public,"Market value as of July 15, 2024.",167994,45509,www.ibm.com,F,1.24,bog standard energy,17580,
64,Deere,DE,Industrials,Construction and Farm Machinery,yes,no,no,yes,17,yes,no,no,yes,yes,no,82956,114332.9,61251,16.5,10166,42.6,104087,John C. May,U.S.,Moline,Illinois,https://www.deere.com,Public,"Figures are for fiscal year ended Oct. 31, 2023. Market value as of July 15, 2024.",102421,45509,www.deere.com,E,0.72,sustainable energy,4822,
65,Nvidia,NVDA,Technology,Semiconductors and Other Electronic Components,yes,yes,no,yes,87,yes,no,no,no,yes,yes,29600,2258900,60922,125.9,29760,581.3,65728,Jensen Huang,U.S.,Santa Clara,California,https://www.nvidia.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",3159624,45509,www.nvidia.com,E,0.8,sustainable energy,32640,
66,StoneX Group,SNEX,Financials,Diversified Financials,yes,no,no,yes,-7,no,yes,no,yes,no,no,4137,2216.7,60856.1,-7.8,238.5,15.2,21938.7,Sean M. O'Connor,U.S.,New York,New York,https://www.stonex.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Company reports sale of physical commodities on a gross basis. Market value as of July 15, 2024.",2516,45509,www.stonex.com,E,0.79,sustainable energy,405.78,
67,Merck,MRK,Health Care,Pharmaceuticals,yes,no,no,yes,2,yes,no,no,yes,yes,yes,71000,334182.4,60115,1.4,365,-97.5,106675,Robert M. Davis,U.S.,Rahway,New Jersey,https://www.merck.com,Public,"Market value as of July 15, 2024.",324503,45509,www.merck.com,F,1.08,bog standard energy,1123,
68,ConocoPhillips,COP,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-19,no,yes,no,yes,no,no,9900,149733.3,58574,-28.7,10957,-41.3,95924,Ryan M. Lance,U.S.,Houston,Texas,https://www.conocophillips.com,Public,"Market value as of July 15, 2024.",133994,45509,www.conocophillips.com,F,1.84,sustainable energy,121.365,
69,Pfizer,PFE,Health Care,Pharmaceuticals,yes,no,no,yes,-31,no,yes,no,yes,yes,no,88000,157135.5,58496,-41.7,2119,-93.2,226501,Albert Bourla,U.S.,New York,New York,https://www.pfizer.com,Public,"Market value as of July 15, 2024.",164898,45509,www.pfizer.com,E,0.72,sustainable energy,1733,
70,Delta Air Lines,DAL,Transportation,Airlines,yes,no,no,yes,15,yes,no,no,yes,yes,yes,103000,30795.9,58048,14.8,4609,249.7,73644,Edward H. Bastian,U.S.,Atlanta,Georgia,https://www.delta.com,Public,"Market value as of July 15, 2024.",27753,45509,www.delta.com,F,0.88,sustainable energy,45900,
71,TD Synnex,SNX,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,no,-7,no,yes,no,yes,yes,no,28000,9856.6,57555.4,-7.7,626.9,-3.7,29412.8,Patrick  Zammit/Richard T. Hume,U.S.,Fremont,California,https://www.tdsynnex.com,Public,"Figures are for fiscal year ended Nov. 30, 2023. Market value as of July 15, 2024.",9836,45509,www.tdsynnex.com,D,0.65,bog standard energy,825.46,
72,Publix Super Markets,PFE,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,6,yes,no,no,yes,yes,yes,253000,,57534,4.7,4349,49,34384,Kevin S. Murphy,U.S.,Lakeland,Florida,https://www.publix.com,Private,"Figures are for fiscal year ended Dec. 31, 2023.",,45509,www.publix.com,F,0.9,sustainable energy,19030,
73,Allstate,ALL,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,11,yes,no,no,yes,yes,no,53200,45513.3,57094,11.1,-188,,103362,Thomas J. Wilson,U.S.,Northbrook,Illinois,https://www.allstate.com,Public,"Market value as of July 15, 2024.",44050,45509,www.allstate.com,E,0.7,sustainable energy,13780,
74,Cisco Systems,CSCO,Technology,Network and Other Communications Equipment,yes,no,no,yes,8,yes,no,no,yes,no,yes,84900,202094.9,56998,10.6,12613,6.8,101852,Charles H. Robbins,U.S.,San Jose,California,https://www.cisco.com,Public,"Figures are for fiscal year ended July 31, 2023. Market value as of July 15, 2024.",191932,45509,www.cisco.com,D,0.58,sustainable energy,16280,
75,Nationwide,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,8,yes,no,no,yes,no,yes,24118,,54609.4,6.1,-45.2,-104.6,290615,Kirt A. Walker,U.S.,Columbus,Ohio,https://www.nationwide.com,Private,"Figures are for fiscal year ended Dec. 31, 2022.",,45509,www.nationwide.com,F,1.02,sustainable energy,3375,
76,Charter Communications,CHTR,Telecommunications,Telecommunications,yes,no,no,no,3,yes,no,no,yes,no,no,101100,51316,54607,1.1,4557,-9.9,147193,Christopher L. Winfrey,U.S.,Stamford,Connecticut,https://www.charter.com,Public,"Market value as of July 15, 2024.",52350,45509,www.spectrum.com,A+,0,sustainable energy,12150,
