Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Website URL,WC Grade,WC CO2 per Visit,Sustainable Energy,Monthly traffic in K,
302,Xcel Energy,XEL,Energy,Utilities: Gas and Electric,yes,no,no,no,-31,no,yes,no,no,yes,no,11311,29839.6,14206,-7.2,1771,2,64079,Robert C. Frenzel,U.S.,Minneapolis,Minnesota,https://www.xcelenergy.com,Public,"Market value as of March 28, 2024.",29840,45447,www.xcelenergy.com,E,0.71,sustainable energy,3012,
303,Edward Jones,,Financials,Securities,yes,no,yes,yes,30,yes,no,no,no,yes,yes,54000,,14080,13.4,1612,14.8,28003,Penny Pennington,U.S.,Des Peres,Missouri,https://www.edwardjones.com,Private,A partnership. Net income before allocations to partners. Total partnership capital subject to mandatory redemption.,,45447,www.edwardjones.com,E,0.71,sustainable energy,9803,
304,Ball,BALL,Materials,"Packaging, Containers",yes,no,no,no,-35,no,yes,no,no,yes,no,21000,21206.3,14029,-8.6,707,-1.7,19303,Daniel W. Fisher,U.S.,Westminster,Colorado,https://www.ball.com,Public,"Market value as of March 28, 2024.",21206,45447,www.ball.com,F,1.41,sustainable energy,195.985,
305,LKQ,LKQ,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,14,yes,no,no,no,no,no,49000,14248.5,13866,8.4,936,-18.5,15079,Justin Jude,U.S.,Chicago,Illinois,https://www.lkqcorp.com,Public,"Market value as of March 28, 2024.",14249,45447,www.lkqcorp.com,E,0.76,bog standard energy,771.032,
306,Mutual of Omaha,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,22,yes,no,no,no,no,no,6231,,13855.8,10.6,47.7,,51838.6,James T. Blackledge,U.S.,Omaha,Nebraska,https://www.mutualofomaha.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,45447,www.mutualofomaha.com,D,0.65,bog standard energy,2216,
307,Mosaic,MOS,Chemicals,Chemicals,yes,no,no,yes,-90,no,yes,no,no,no,no,14049,10442,13696.1,-28.4,1164.9,-67.5,23032.8,Bruce M. Bodine,U.S.,Tampa,Florida,https://www.mosaicco.com,Public,"Market value as of March 28, 2024.",10442,45447,www.mosaicco.com,F,0.96,sustainable energy,38.81,
308,Textron,TXT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,10,yes,no,no,no,yes,no,35000,18500.5,13683,6.3,921,7,16856,Scott C. Donnelly,U.S.,Providence,Rhode Island,https://www.textron.com,Public,"Market value as of March 28, 2024.",18501,45447,www.textron.com,F,0.88,sustainable energy,403.685,
309,Labcorp Holdings,LH,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,no,-31,no,yes,no,no,yes,no,61975,18372.5,13668.2,-8.1,418,-67.3,16725.1,Adam H. Schechter,U.S.,Burlington,North Carolina,https://www.labcorp.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",18373,45447,www.labcorp.com,F,2.79,sustainable energy,13080,
310,Principal Financial,PFG,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-74,no,yes,no,no,no,no,19800,20357.8,13665.8,-21.9,623.2,-87,305046.7,Daniel J. Houston,U.S.,Des Moines,Iowa,https://www.principal.com,Public,"Market value as of March 28, 2024.",20358,45447,www.principal.com,E,0.72,sustainable energy,4612,
311,Regeneron Pharmaceuticals,REGN,Health Care,Pharmaceuticals,yes,yes,no,yes,28,yes,no,no,no,no,no,13450,105644.7,13117.2,7.8,3953.6,-8.9,33080.2,Leonard S. Schleifer,U.S.,Tarrytown,New York,https://www.regeneron.com,Public,"Market value as of March 28, 2024.",105645,45447,www.regeneron.com,F,2.36,sustainable energy,366.596,
